variant,ticker,entry_date,days,last_date,exit_date,exit_reason,trade_ret
SCORE_R,SO,2018-11-30,30,2019-01-14,2019-01-15,rollback,-0.012006861063465268
SCORE_R,GILD,2018-12-07,26,2019-01-14,2019-01-15,rollback,-0.03711665233591244
SCORE_R,VIAB,2018-11-02,54,2019-01-22,2019-01-23,rollback,-0.11161662117076121
SCORE_R,MAT,2018-12-07,32,2019-01-23,2019-01-24,rollback,-0.1402616279069766
SCORE_R,TSCO,2019-01-11,9,2019-01-23,2019-01-24,rollback,0.045271867612293404
SCORE_R,EXC,2019-01-16,9,2019-01-28,2019-01-29,rollback,0.017135325131809598
SCORE_R,LMT,2018-11-12,55,2019-01-31,2019-02-01,rollback,-0.07136015325670442
SCORE_R,TSN,2018-11-12,57,2019-02-04,2019-02-05,rollback,0.0006466214031684014
SCORE_R,VTR,2019-01-14,16,2019-02-04,2019-02-05,rollback,0.059696514924129085
SCORE_R,KMI,2018-11-23,51,2019-02-06,2019-02-07,rollback,0.0662721893491125
SCORE_R,ORLY,2019-01-15,17,2019-02-06,2019-02-07,rollback,0.05963516483516518
SCORE_R,AZO,2019-01-24,11,2019-02-06,2019-02-07,rollback,0.05185452359483045
SCORE_R,KMB,2019-02-07,5,2019-02-12,2019-02-13,rollback,0.016602248770203776
SCORE_R,CAG,2019-02-05,12,2019-02-20,2019-02-21,rollback,0.10890632210429207
SCORE_R,WMT,2019-02-08,9,2019-02-20,2019-02-21,rollback,0.03446235671824405
SCORE_R,KEY,2019-02-08,10,2019-02-21,2019-02-22,rollback,0.04115226337448541
SCORE_R,FCX,2019-02-01,20,2019-02-28,2019-03-01,rollback,0.1228373702422143
SCORE_R,COF,2019-02-05,20,2019-03-04,2019-03-05,rollback,0.0213339872486511
SCORE_R,UHS,2019-03-01,3,2019-03-04,2019-03-05,rollback,-0.014964726002992923
SCORE_R,NI,2019-02-13,23,2019-03-15,2019-03-18,rollback,0.0468515742128941
SCORE_R,LW,2019-01-29,41,2019-03-26,2019-03-27,rollback,0.024954437123231088
SCORE_R,CPB,2019-01-15,51,2019-03-27,2019-03-28,rollback,0.08815111619919791
SCORE_R,PHM,2019-03-05,19,2019-03-28,2019-03-29,rollback,0.029634983736899434
SCORE_R,M,2019-03-28,8,2019-04-05,2019-04-08,rollback,0.03872808805544237
SCORE_R,FISV,2019-03-27,10,2019-04-08,2019-04-09,rollback,0.0096540627514079
SCORE_R,MET,2019-03-18,22,2019-04-15,2019-04-16,rollback,0.0024239753195238745
SCORE_R,HRB,2019-01-24,63,2019-04-23,2019-04-24,rollback,0.03617774282343711
SCORE_R,CF,2019-02-21,44,2019-04-23,2019-04-24,rollback,-0.00870147255689413
SCORE_R,DE,2019-02-22,43,2019-04-23,2019-04-24,rollback,0.026380368098159357
SCORE_R,EXC,2019-04-16,12,2019-05-01,2019-05-02,rollback,0.01178115015974468
SCORE_R,FB,2019-03-05,43,2019-05-02,2019-05-03,rollback,0.16137898070143963
SCORE_R,CVS,2019-01-24,71,2019-05-03,2019-05-06,rollback,-0.14549618320610702
SCORE_R,ARNC,2019-02-21,54,2019-05-07,2019-05-08,rollback,0.21198910081743927
SCORE_R,KMI,2019-04-08,30,2019-05-17,2019-05-20,rollback,0.008478802992518908
SCORE_R,COTY,2019-05-06,14,2019-05-22,2019-05-23,rollback,0.15719360568383633
SCORE_R,AMAT,2019-05-20,18,2019-06-12,2019-06-13,rollback,-0.004545454545454852
SCORE_R,KIM,2019-05-03,31,2019-06-14,2019-06-17,rollback,0.041436464088398184
SCORE_R,CMCSA,2019-06-17,4,2019-06-19,2019-06-20,rollback,0.030703826169107495
SCORE_R,JEC,2019-05-08,34,2019-06-24,2019-06-25,rollback,0.04620084001527314
SCORE_R,MYL,2019-05-02,46,2019-07-05,2019-07-08,rollback,-0.284028033935817
SCORE_R,JCI,2019-06-13,18,2019-07-08,2019-07-09,rollback,0.04620793571069859
SCORE_R,SYMC,2019-04-09,68,2019-07-15,2019-07-16,rollback,-0.05857914416285859
SCORE_R,GPS,2019-03-29,77,2019-07-17,2019-07-18,rollback,-0.2845124282982787
SCORE_R,WDC,2019-06-20,20,2019-07-17,2019-07-18,rollback,0.2868955149085437
SCORE_R,TWTR,2019-07-08,18,2019-07-30,2019-07-31,rollback,0.13984461709211993
SCORE_R,KIM,2019-07-09,18,2019-07-31,2019-08-01,rollback,0.03004291845493534
SCORE_R,BK,2019-07-18,12,2019-08-01,2019-08-02,rollback,0.03816621499548356
SCORE_R,FL,2019-07-18,17,2019-08-08,2019-08-09,index_drop,-0.02228142407362521
